Publishing Cities,Country / Kingdom through the centuries,No. of Publishing Houses,No. of publications,Crises,Top 5 Crises,VD16,VD16 %,VD17,VD17 %,VD18,V18 %,Depopulation,University city?,Year of founding (University),Religion of the University,Patron of the Universities,Religion of City,Notes
Leipzig,"Saxon Territory (Albertine line of the House of Wettin, Electorate of Saxony)",,134585,1517 onward- Reformation crisis and rapid expansion of confessional print; 1520- Leipzig printers affected by restrictions on printing/selling Wittenberg Reformation works; 1513-16th century- Privilege and reprinting pressure in the German book trade; 1543 onward- Permanent censorship regime at Leipzig; 1555 onward- Post-Peace of Augsburg confessional regulation; 1570s-1590s- Crypto-Calvinist controversy in Saxony; 1618-1648- Thirty Years' War; 1631- Battle of Breitenfeld near Leipzig / siege pressure; 1632- Battle of Lützen near Leipzig; 1642- Second Battle of Breitenfeld / renewed siege pressure; 1630s-1640s- Wartime news and information crisis; 1648 onward- Post-Westphalia recovery and commercial restructuring; 17th century- Shift in book-trade gravity from Frankfurt toward Leipzig; 1687 onward- Leipzig Books Commission / censorship and reprint regulation; 1740-1748- War of the Austrian Succession; 1756-63- Seven Years' War; 1773- Saxon Statute on book privileges and reprinting; Late 18th century- Unauthorised reprinting / piracy crisis,VD16- 1517-1524: Reformation print restrictions and rapid exapansion of Confessional print; 1543-1555: Permanent  Censorship regime at Leipzig; VD17- 1618-1648: Thirty Years' War; 1631-1642: Battle of Breitenfeld / Local war & siege pressure; VD18- 1773-1800: Saxon Statute on book privileges + reprinting,9471,8.39%,29190,8.88%,95924,13.57%,YES; 1631-1642 AD- 18000 to 12000,Yes,1409,"Catholic (1409), then Lutheran (1539)","Landgraves of Thuringia (1409), then Duke & Elector of Saxony (1547)","1539 reformation, afterwards mostly lutherian","Largest student population after 1585, clung to the traditional curricula, modernization began in the early 18th century with new professorships for chemistry and natural law"
Wittenberg,"Saxon Territory (Original residence of Electorate of Saxony, Albertine line of the House of Wettin, lost status to Dresden in the Schmalkalden War in 1547)",,52557,"1517 onward- Reformation crisis and rapid rise of Lutheran print; 1520s- Explosion of Luther pamphlets and Protestant tract production; 1527- Plague outbreak in Wittenberg; 1546- Death of Luther and transition of Wittenberg's reformist authority; 1547- Schmalkaldic War / Capitulation of Wittenberg; Late 16th century- Lutheran orthodoxy and confessional consolidation; 1618-1648- Thirty Years' War; Mid 1620s- Proximity to fighting affects Saxon universities, including Wittenberg; 1630s-1640s- Refugee pressure, disease outbreaks, high mortality, and university disruption; 1648 onward- Post-Westphalia recovery and continued Lutheran university print; 1756-1763- Seven Years' War; 1760- Bombardment of Wittenberg and damage to Castle Church",VD16- 1517-1530: Reformation crisis and rapid rise of Lutheran print; 1527-1528: Plague outbreak; 1546-1547: Luther's death &Schmalkaldic War; VD17- 1618-1648- Thirty Years' War; VD18- 1756-1763- Seven Years' War,12908,11.43%,21690,6.60%,17959,2.54%,"YES; During the Thirty Years' War, Wittenberg's suburbs were directly affected while the city itself was relatively protected. Refugees entered the city, causing disease outbreaks, high mortality rates, and disruption to university operations. The Saxon universities, including Wittenberg, also suffered temporarily from proximity to fighting in the mid-1620s, though they recovered by 1627-1628.",Yes,1502,"Catholic (1502), then Lutheran (1533)","Duke & Elector of Ernestine Saxony (1502), Duke & Elector of Albertine Saxony (1547), Brandenburg-Prussia (1815)","1517, epicenter of the Reformation","Wittenberg introduced the new humanistic studies of Melanchthon’s reform movement and became the model for the other Protestant universities, standing as the premier German university from the mid-16th century to the early 17th century
1536: re-established theology faculty"
Jena,"Saxon Territory (Albertine line of the House of Wettin, Electorate of Saxony)",,46634,"Late 16th century- Lutheran orthodoxy and university-theological publishing; 1618-1648- Thirty Years' War; Mid 1620s- Military proximity temporarily affects Saxon universities, including Jena; 1630s-1640s- War, disease, refugee, and mortality pressure across urban Germany; 1648 onward- Post-Westphalia recovery of university and Lutheran print; 1672-1690- Duchy of Saxe-Jena and territorial-political reorganisation; 18th century- Expansion of university, philosophical, theological, and scholarly publishing; 1756-1763- Seven Years' War; 1790s- French Revolutionary crisis environment",,3391,3.00%,22619,6.88%,20624,2.92%,"YES; Jena was affected by the Thirty Years' War and by proximity to fighting in the mid-1620s. The Saxon universities, including Jena, suffered temporarily, though the losses were relatively slight, and recovery followed in 1627-1628. Overcrowding and unsanitary conditions allowed deadly waves of disease to sweep through the region. It is estimated that up to \(40\%\) of the population in the broader German-speaking territories died during this century.",Yes,1558,Lutheran,Duke of Saxony,1536 reformation,"Competition with Wittenberg, rising enrollment until Thirty Years War, then at the end of the 17th century rose again
Significance in theology, classics education, Latin; which led to more students in law 
New professorship for philosophy in 1770"
Berlin,"Brandenburg-Prussia (residence city of the Hohenzollern dynasty, the Electors of Brandenburg, who became Kings in Prussa starting in 1701)",,30264,"1539- Brandenburg adopts Lutheranism; 1576- Plague outbreak in Berlin; 1598- Plague outbreak in Berlin; 1618-1648- Thirty Years' War; 1648- Berlin population reduced by half to 6,000; 1648 onward- Post-war reconstruction under the Great Elector; 1658-83- Berlin-Cölln fortified after the war; 1685 onward- Huguenot immigration after the Edict of Potsdam; 1699- Plague outbreak in Berlin; 1701- Berlin becomes royal capital of Prussia; 1740-48- War of the Austrian Succession / Silesian Wars; 1756-63- Seven Years' War; 1758 onward- Friedrich Nicolai begins independent bookseller-publisher career during the Seven Years' War; Late Eighteenth century- Censorship, privilege, piracy, and political dissent; 1789 onward- French Revolution and political information crisis",,298,0.26%,2816,0.86%,27150,3.84%,"YES; By 1648, the population dropped by half to 6000.",No ,NaN,NaN,NaN,1539 reformation,
Nürnberg,Free Imperial City (Holy Roman Empire),,29910,"1520s-1530s- Council-led religious control of Reformation print; 1561- Nuremberg Printers' Ordinance; Late 16th century- Expansion of broadsheets and visual-news print; 1618-1648- Thirty Years' War; 1632- Siege of Nuremberg / Alte Veste campaign; 1634- Plague strikes Nuremberg after war-related weakening; 1630s-1640s- Wartime news and information crisis; 1648 onward- Post-war debt and slow recovery; 1673- Second Nuremberg Printers' Ordinance; 17th century- Reprinting, privilege, and authenticity pressure; 18th century- Economic stagnation and civic indebtedness; Late 18th century- Wider German book-trade regulation and reprinting pressure",VD16- 1517-1525: Reformation print; 1520-1548: counterfeit Luther/Wittenberg imprints; 1525-1530- Nürnberg adopts the Reformation; 1561-1570: Printers' Ordinance; VD17- 1673-1700- Printers' Ordinance,6784,6.01%,12254,3.73%,10872,1.54%,"The exact rate of depopulation requires empirical determination; In 1622, 10,069 households were registered in this city; With four to five persons per household, the number of inhabitants most likely lay between 40,000 and 50,000 (Porzelt, Pest in Nürnberg, 34–35). Around the beginning
of the Thirty Years’ War, its population had risen to about 45,000. Decline in population due to 1632 Siege of Nuremberg and surrounding military devastation.",No ,NaN,NaN,NaN,1525 reformation ,"Erlangen has a university, which was founded in 1743, and is near Nuremberg"
Straßburg,"Border-Changer
16th century: Protestant Free Imperial City
1681: Annexed by King Louis XIV of France",,22713,"1480-1599-Major expansion of Strasbourg printing: nearly 6,000 editions by 77 printers; 1517 onward- Reformation crisis and Protestant print expansion; 1520s-1540s-Bucer, Capito, and Strasbourg reformist publishing; 1523-1541- Protestant music, psalm, hymn, and liturgical print; 1530-Tetrapolitan Confession / confessional definition crisis; 1548-1552- Augsburg Interim and imperial pressure on Protestant cities; 1555 onward- Peace of Augsburg and Lutheran consolidation; 1618-1648- Thirty Years' War; Strasbourg remains neutral; 1630s- Regional war, plague, famine, and refugee pressure (requires further verification); 1648- Peace of Westphalia and Alsace geopolitical shift; 1681- French annexation by Louis XIV; 1681 onward- French rule, censorship, and Strasbourg's special civic publishing status; 18th century- French-German cross-border book trade and translation market; 1789 onward- French Revolution and collapse of old civic privileges",,6411,5.68%,7669,2.33%,8633,1.22%,NO,Yes,1621,Lutheran,Town Council of Straßburg,"1521 reformation, after annexation re-Catholization, but Protestant faith was legally tolerated ","University Years: 1621-1792, 1872-1918
Law and philosophy strongest faculties"
"Halle, Saale","Saxon Territory (ruled by the Archbishops of Magdeburg, it was incorporated into Brandenburg-Prussia in 1680)",,21057,"1541-Reformation introduced in Halle; 1618-1648- Thirty Years' War; 1625- Occupation by Wallenstein's imperial troops; 1637- Moritzburg burned during the war; 1648 onward- Post-war recovery and economic-demographic weakness; 1680 onward- Halle passes to Brandenburg-Prussia; 1681-83- Severe plague in Halle; 1682- Peak of plague wave; mandates and civic health communication; 1694- University of Halle founded; 1698- Francke Foundations established; 1701- Halle becomes part of Kingdom of Prussia; 1706 onward- Danish-Halle Mission and missionary knowledge network; 1710- Canstein Bible Institute founded;18th century- Pietist, educational, Bible, missionary, and scholarly publishing expansion; 1756-63- Seven Years' War; Late 18th century- Enlightenment/Pietist controversy, censorship, and university-intellectual pressure.",,10,0.01%,4388,1.33%,16659,2.36%,YES; 1641-43 AD- over half of the population (5000 people) died. 1642 was the peak year.,Yes,1694,Lutheran,"Margrave & Elector of Brandenburg (1694), then King of Westphalia (1806), then Brandenburg-Prussia (1815)",1541 reformation,"Halle was the largest of the four Prussian universities, and the premier German university of the 18th century, rivaled only by the newly-formed Göttingen"
Helmstedt,The Welf Territories (Duchy of Brunswick-Lüneburgwelf),,20779,"1576-Foundation of University of Helmstedt / Academia Julia; 1578 onward- University printing press; Lucius family becomes central to Helmstedt printing; Late 16th century- Protestant university identity and scholarly-theological print; 1618-48- Thirty Years' War; 1625- Plague outbreak; one quarter to one third of population dies; 1625-26- University teaching suspended because of war and plague; Post 1648- Recovery and continuation of university-based publishing; Late 17th century- Confessional and scholarly controversy around Helmstedt theologians and scholars; 1756-63- Seven Years' War, to be tested as possible disruption; Late 18th century- University competition and decline; 1809-10- University of Helmstedt closed under the Kingdom of Westphalia",,2529,2.24%,8104,2.46%,10146,1.44%,"YES; In 1625, plague broke out in Helmstedt during the Thirty Years' War, and one quarter to one third of the population died. By November 1625, one-third of the inhabitants had died, and 295 burgher houses stood empty. The crisis was serious enough that university teaching was suspended until 1626.",Yes,1576,Lutheran,"Duke of Brunswick-Wolffenbüttel (1576), then King of Westphalia (1806)",1568 reformation,University years: 1576-1809
Augsburg,Free Imperial City (Holy Roman Empire),,20016,"1517 onward- Reformation crisis and rapid demand for Protestant/Reformation print; 1518- Diet of Augsburg and Luther's examination before Cardinal Cajetan; 1530- Diet of Augsburg and Augsburg Confession; 1530s-1550s- Imperial supervision and censorship of print after the Diet of Augsburg; 1555 onward- Peace of Augsburg and long-term confessional division; Late 16th century- Expansion of engraving and visual print market in Augsburg; 1618-1648- Thirty Years' War; 1628- Major plague epidemic, about 9,000 deaths; 1632- Swedish occupation / Protestant military-political dominance; 1635- Census records severe demographic decline and confessional division: 16,432 inhabitants, 12,017 Protestant and 4,415 Catholic; 1648- Peace of Westphalia and Augsburg's parity settlement; After 1648 & especially after 1670- Catholic immigration changes confessional relations in Augsburg's book trade; Mid to late 17th century- Censorship pressure, fines, imprisonment, confiscation risk; Late 17th century- Catholic-Protestant publishing competition; 18th century- Continued censorship, confessional regulation, market competition, and devotional/illustrated print economy",VD16- 1517-1525: Reformation crisis and rapid demand for Protestant/Reformation print; 1518-1519: Diet of Augsburg and Luther's examination before Cardinal Cajetan; 1530-1531: Augsburg Confession; VD17- 1628-1635: Major plague epidemic and demographic collapse; 1670-1700: Catholic immigration changes confessional relations in Augsburg's book trade.,3905,3.46%,3584,1.09%,12527,1.77%,"YES; 1500- 30000 inhabitants; By 1618's Thirty Years' War- Increase in population by 10.000; 1628- 9000 deaths due to plague epidemic; By 1635- Only 16432 inhabitants (recorded by census, of whom 12017 were Protestants and 4,415 were Catholics)",No ,NaN,NaN,NaN,"1534/1537 reformation, Peace of Augsburg: biconfessional",
Hamburg,Free Imperial City (Holy Roman Empire),,19752,"1529 onward-Reformation adopted in Hamburg; Lutheran civic-religious print; Late 16th century- Commercial expansion and merchant/refugee migration; 1618-48- Thirty Years' War; Hamburg becomes refuge rather than depopulation case; 1616-48- Population rises from c.40,000 to c.75,000 by end of war;1630s-1640s- Refugee and information crisis during the war; Mid to late 17th century- Hamburg rises as commercial and financial centre; 2nd half of the 17th century- Hamburg becomes major newspaper city in German-speaking world; 1675 onward- Hamburger Relations-Courier documented; 1700-1721- Great Northern War affects Baltic trade and plague circulation; 1712-1713- Plague in Hamburg; 18th century- Newspaper advertisements and commercial print culture; Late 18th century- Public sphere through newspapers, journals, pamphlets, songs, sermons; 1789 onward- French Revolution and political-information crisis; 1806-1814- Napoleonic occupation/annexation period",,460,0.41%,4845,1.47%,14447,2.04%,YES during the 1712–1713 plague.,No ,NaN,NaN,NaN,1577 reformation,
Köln,"Free Imperial City (Holy Roman Empire), seat of the Archbishop-Elector; until 1794 during the Coalition Wars, part of the French Republic in 1798",,19719,"1487-Papal regulation of printing at Cologne; 1501- Papal bull Inter multiplices controlling print in Cologne, Mainz, Trier, and Magdeburg; 1517 onward- Reformation crisis and Catholic response to Protestant print; 1520s-1550s- Anti-Protestant censorship and Catholic orthodoxy pressure; 1559 onward- Index of Prohibited Books / Counter-Reformation censorship; Late 16th century- Counter-Reformation Catholic publishing pressure; 1618-1648- Thirty Years' War; 1630s- War, plague, famine, and refugee pressure across German lands; 1630s-1640s- Wartime news and information crisis; 1648 onward- Post-Westphalia Catholic-confessional settlement; 17th century- Long-term Catholic censorship and knowledge-control pressure; 18th century- Enlightenment-era censorship and press-freedom tension; 1794- French occupation of Cologne",VD16- 1517-1530: Reformation crisis and Catholic response to Protestant print; 1559-1600: Index of Prohibited Books / Counter-Reformation censorship; VD17- 1618-1648: Thirty Years' War; VD18- 1794-1800: French occupation of Köln,7794,6.90%,7946,2.42%,3979,0.56%,"NO; Cologne belonged to the wider urban crisis of the Thirty Years' War, in which German cities were affected by war, famine, plague, and economic decline. Recent economic history treats the Thirty Years' War as a major urban shock across Germany, with conservative estimates of mortality around 20 percent and many estimates between 30 and 40 percent for the Empire as a whole. ",Yes,1388,Catholic (Jesuit),Archbishop Elector and the Town Council of Cologne,Remained Catholic,1612-1616- Fettmilch Rebellion; 1618- Beginning of the Thirty Years' War; 1620-1623- Kipper and Wipper inflation; 1631-1635- Swedish occupation/troop quartering; 1634-1635- Severe plague outbreaks; 1648- End of Thirty Years' War; mid-1660s- Further plague waves; 1661- Booksellers' Association founded to stabilise difficult market; 1675-1695- Second Kipper and Wipper period
Dresden,"Saxon Territory (residence city for the Albertine line of the House of Wettin, Electorate of Saxony)",,19693,"1631-1643- Plague in Dresden, causing thousands of deaths; 1642- Dresden has only two active printers; 1648 onward- Post-war court/state recovery; 1697 onward- Elector's Catholic conversion creates confessional-political tension in Lutheran Saxony; 1726- Murder case publishing and censorship crisis in Dresden; 1740-48- War of the Austrian Succession and the weakening of the Saxon political power; 1756-1763- Seven Years' War; 1760- Prussian bombardment/ Siege of Dresden. Neustadt destroyed. 1773- Saxonian Statute on book trade and reprinting issued from Dresden; Late 18th century- Censorship, privilege, reprinting, and state regulation; 1789 onward- French Revolution and political information crisis.",,1066,0.94,5690,1.73%,12937,1.83%,"YES based on narrative, exact data could not be found. ",No ,NaN,NaN,NaN,1539 reformation,
Rostock,"Mecklenburg (Duchy of Mecklenburg, city council spent centuries locked in bitter legal and political disputes with its own Dukes to protect its civic privileges)",,19509,"1520s-1531- Reformation crisis and Joachim Slüter's Lutheran reform movement; 1531- The Reformation was officially introduced in Rostock; 1557- Mecklenburg Church Order printed by Ludwig Dietz in Rostock; 1624- Plague in Rostock; the city is cut off from traffic with its neighbours; 1618-48- Thirty Years' War; 1627-28- Imperial/Wallenstein pressure; Rostock loses neutrality; 1628 onward- Warnemünde blockade and military/fiscal pressure on maritime trade; 1629- Printed plague mortality list in Rostock; 1630s-48- Swedish/imperial pressure in Mecklenburg and maritime disruption; 1648 onward- Post-war recovery, but a weakened Hanseatic economy; 1669- Last Hanseatic Diet; structural decline of the Hanseatic system; 1677- Great city fire; about one third of 2,000 houses destroyed; 18th century- Baltic wars, economic stagnation, and maritime-trade pressure; 1760- The university of Rostock moved to Bützow after university-political tensions",,1967,1.74%,8085,2.46%,9457,1.34%,"YES; In 1677, a massive city fire destroyed over half of the buildings, accelerating a devastating population drop to just 5000 survivors.",Yes,1419,"Catholic (1419), then Lutheran (1531 or 1546).","Town Council & Duke of Mecklenburg (1419), Town Council (1760), Town Council & Duke of Mecklenburg (1789)",1531 reformation,"Known for its law program, appointment of Pietist professor of theology was strongly opposed and lead to the opening of the university of Bützow in 1760"
Wien,"Habsburg Monarchy (Austria): primary residence of the Holy Roman Emperor, political allegiance survived two massive Ottoman sieges (1529 and 1683)",,19249,"1529- First Ottoman siege of Vienna; 1550s-1600s- Counter-Reformation censorship and Catholic print control; 1618-1648- Thirty Years' War; Vienna as Habsburg political-print centre; 1679- Great Plague of Vienna; 1683- Second Ottoman siege / Battle of Vienna; 1680s onward- Anti-Ottoman print, victory literature, siege news, and political memory; 1703 onward- Wien[n]erisches Diarium founded; official/news knowledge circulation; 1740-1748- War of the Austrian Succession; 1751 onward- Habsburg censorship and book-ban system; 1756-63- Seven Years' War; 1781- Joseph II's censorship/printing decree; 1780s- Josephinism, Enlightenment reform, and church-state conflict; 1789 onward- French Revolution and political information crisis",,635,0.56%,1943,0.59%,16671,2.36%,YES; c.70000-100000 deaths due to plague in 1679.,Yes,1365,"Catholic (Jesuit, 1622-1773)",Archduke of Austria,"reformation very fast, but re-Catholization in 1551, starting point of counter reformation",
Tübingen,Württemberg (Primary university town of the Duchy of Württemberg),,16600,"1477- University of Tübingen was founded; 1517 onward- Reformation crisis and Lutheran/university print expansion; 1534 onward- Reformation introduced in Württemberg; 1618-48- Thirty Years' War; 1631- Tübingen plundered during the ""Kirschenkrieg""; 1634- Imperial/Bavarian occupation after Nördlingen; 1634 onward- Plague spreads in Tübingen; quarantine orders imposed; 1647-1649- French siege/occupation of Hohentübingen; 1659- Cotta publishing house founded in Tübingen; 1667 onward- Cotta bookshop/publishing house established in Münzgasse; 1771- City fire in the western old town; 1787- Johann Friedrich Cotta takes over the firm; 1789- City fire in the eastern old town; 1798- Cotta founded the Allgemeine Zeitung in Tübingen",,3015,2.67%,3750,1.14%,9835,1.39%,YES; 1635-1636 AD- 1485 people died due to plague,Yes,1477,"Catholic (1477), then Lutheran (1534)",Count of Württemberg,1535 reformation,"Introduced humanistic studies with its reformation in 1536, arts faculty ""below"" higher faculties 
Beginning of 18th century, cutting back on classics and added 5 more chairs for philosophy (logic and metaphysics, ethics and natural law, physics and mathematics, Greek and Hebrew, and general and German history)"
Erfurt,Saxon Territory (controlled by the distant Electorate/Archbishopric of Mainz until 1802),,16022,"1501-1505- Luther studies in Erfurt and enters the Augustinian monastery; 1517 onward- Reformation crisis and Lutheran print expansion; 1520s- 1540s- Erfurt printers involved in counterfeit Luther / false Wittenberg imprint market; 1566- Evangelical theology chair established at Erfurt; 1600-1627- Catholic theology chair lapses at Erfurt; 1618-48- Thirty Years' War; Before 1633- Plague affects Erfurt University matriculations; 1631- Gustavus Adolphus enters Erfurt; Swedish occupation begins; 1633- Erfurt matriculations peak above 150 under Swedish-Lutheran support; 1635- Nördlingen / Peace of Prague disrupt reform plans; 1636-48- Swedes regain and retain Erfurt; 1664- Erfurt was subjugated by the Electorate of Mainz; 1665 onward- Petersberg Citadel was built to secure the authority of Mainz; 18th century- Mainz rule, censorship, and restricted civic/university autonomy; 1802-1806- Prussian transition and French occupation",,3071,2.72%,4857,1.48%,8094,1.14%,YES,Yes,1392,"Catholic (1392), then Lutheran (1521), then back to Catholic (1533)","Town Council of Mainz (1392), then the Archbishop Elector of Mainz (1664), then Brandenburg-Prussia (1803)","1521 sympathies with Lutheranism, 1577 bi-confessional compromise","University Years: 1392-1816
The theology faculty was Catholic until the Thirty Years War; Erfurt drew away a lot of Wittenberg's students"
Basel,"Border-Changer
Early Departure: Joined the Swiss Confederacy in 1501",,14979,"c.1470 onward- Rise of Basel printing; 1501- Basel joins the Swiss Confederacy; 1510s-1520s- Humanist publishing boom around Erasmus and Froben; 1517 onward- Reformation crisis; 1521 onward- Erasmus/Froben publishing privilege and Luther-print tension; 1529- Basel adopts the Reformation; 1531- Basel Printers' Statute; early municipal print regulation; 1543- Oporinus prints Vesalius's De humani corporis fabrica; Mid-16th century onward- Religious refugee immigration from Northern Italy and France; 1560s-1600s- Counter-Reformation censorship pressure around Basel's markets; 1618-1648- Thirty Years' War as regional trade/refugee/information pressure; 1665-1670- Last documented Swiss plague outbreak, including Basel; 1667-1669- Basel plague outbreak within wider Swiss plague diffusion; 18th century- Censorship, Enlightenment, and cross-border book circulation; 1798- French Revolutionary / Helvetic Republic transformation",,7203,6.38%,3981,1.21%,3795,0.54%,YES,Yes,1460,"Catholic, later Reformed (1532)",Town council of Basel (Switzerland),1529 reformation,"Strong law faculty in the 16th century, drew a lot of students from northern Europe"
Göttingen,The Welf Territories (Brunswick-Lüneburg / Hanover),,14750,"Before 1730s- Göttingen was a small semi-rural/semi-urban town, not yet a major publishing centre; 1737- University of Göttingen was founded; 1735- Vandenhoeck publishing house was founded in connection with the university; 1739 onwards- Göttingische Anzeigen / scholarly review culture develops; 1751- The Göttingen Academy of Sciences was founded; 1756-63- Seven Years' War; 1757-1762- French occupation/quartering and military pressure in Göttingen; 1763 onwards- Post-war demilitarisation and university flourishing; Late 18th century- Enlightenment censorship, review culture, and scholarly book-trade pressure; 1789 onward- French Revolution and political information crisis; 1803-1807- Napoleonic reorganisation & Göttingen later came under the Kingdom of Westphalia. This affected administration, censorship, and university politics.",,2,0.00%,110,0.03%,14638,2.07%,NO,Yes,1737,Lutheran,Duke Elector of Hanover and King of England,1529 reformation,"By far the most modern of the 18th century universities, the faculty theology was demoted in favor of the law faculty and the social sciences of the philosophy faculty; disputations were replaced by seminars, and professors were encouraged to develop their own textbooks"
"Frankfurt, Main",Free Imperial City (Holy Roman Empire),,13780,1612-1616- Fettmilch Rebellion; 1618- Beginning of the Thirty Years' War; 1620-1623- Kipper and Wipper inflation; 1631-1635- Swedish occupation/troop quartering; 1634-1635- Severe plague outbreaks; 1648- End of Thirty Years' War; mid-1660s- Further plague waves; 1661- Booksellers' Association founded to stabilise difficult market; 1675-1695- Second Kipper and Wipper period;,VD16- 1550-1600: price rise/wage stagnation; VD17- 1612-1616: Fettmilch Rebellion; 1620-1623: Kipper and Wipper Inflation; 1631-1635: Swedish occupation; 1634-1635: plague,684,0.61%,13426,4.08%,12758,1.80%,"YES; 1634 AD- 3421 deaths; 1635 AD- 6943 deaths; 1625-1646 AD- 34,678 deaths against 20,204 births; decline in population- 1600 AD- 20000-25000; Recovery- 1663 AD- 14728 & 1700 AD-23000 ",No ,NaN,NaN,NaN,"1533 reformation, afterwards mostly lutherian",
München,"Empire of Bavaria, House of Wittelsbach",,10145,"1530 onward- Imperial supervision of printing after the Diet of Augsburg; Late 16th century- Counter-Reformation pilgrimage books and Catholic propaganda in Bavaria; Late 16th to early 17th century- Jesuit/Catholic court culture and anti-Protestant print; 1618-48- Thirty Years' War; 1632- Swedish occupation of Munich; Early 1630s- Plague and wartime disease pressure in Bavaria; 1648 onward- Post-war Catholic Bavarian reconstruction; 17th century- Legal deposit becomes a statutory obligation in Bavaria; 1701-1714- War of the Spanish Succession and Bavarian occupation crisis; 1740-1748-War of the Austrian Succession; 1756-63- The Seven Years' War as a wider political information crisis; 1773- Suppression of the Jesuit order; 1785- Bavarian censor Alois von Hillesheim was removed as an Illuminist / Enlightenment print crisis; Late 18th century- Enlightenment, censorship, and forbidden print; 1800-1803- Napoleonic pressure and secularisation, if using an extended endpoint",,268,0.24%,2940,0.89%,6937,0.98%,"YES; Between September 1634 and April 1635, 7,000 people died in Munich alone. Munich’s population declined from 22000 in 1618 AD to 14000 in 1651 AD+ 22000 in 1620 AD, to 17000 in 1650 AD.",No ,NaN,NaN,NaN,"Strictly and uniformly Catholic, center for counter reformation",
,,,,,,,,,,,,,,,,,,
[S.I.],,,80730,,,420,"0,37%",34104,"10,37%",46206,"6,54%",,NaN,NaN,NaN,NaN,NaN,
[Erscheinungsort nicht ermittelbar],,,26533,,,136,"0,12%",1476,"0,45%",24921,"3,53%",,NaN,NaN,NaN,NaN,NaN,